rank,filename,width,height,style,complexity,sharpness,annotation_value_score,has_wall,has_door,has_window,has_bedroom,has_living_room,has_kitchen,has_bathroom,has_bed,has_wc,has_sink,has_stove,visible_classes,notes
3,244a80fe000e5b8728c17211b2b7525d.jpg,735,607,furnished_color,high,6504.4,191.02,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
4,6ba1d00d-4ec7-4123-996b-50fe3a14af79.jpg,500,877,furnished_color,high,17925.0,190.95,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
9,358ffd35-b79e-46c1-934c-1ce9543958f2.jpg,640,903,furnished_color,high,6173.2,186.47,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
11,628d81db0bbddc6884c25a85ddd7e278.jpg,550,956,furnished_color,high,5505.1,184.98,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
14,6549ac644ce535a6039b8b8bfdc68f6e.jpg,674,900,furnished_color,high,5986.8,183.19,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
18,65fce43ecf1817bc941558229757c178.jpg,736,1026,furnished_color,high,2958.0,180.46,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
19,714aced82de7341fa2677af01c144ec9.jpg,735,1048,furnished_color,high,2790.6,179.21,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
21,34e2afcc-abab-450e-8c36-61250c881347.jpg,550,617,furnished_color,high,9364.3,178.07,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
22,69a35f1cab485159de27a6085a5a9813.jpg,564,582,furnished_color,high,5580.8,177.97,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
23,0b79a51a-bede-49d3-b746-44351f4fd1ba.jpg,1021,1280,line_drawing,high,2662.0,177.65,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
