epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2149,2.64728,5.60316,4.47979,1.79146,0,0.00781,0.00641,0.00038,4e-05,0,0,0,0,2.26828,6.60906,4.35538,1.69232,0,2.727e-05,2.727e-05,2.727e-05
2,81.7742,2.64291,4.73515,4.31839,1.82379,0,0.01005,0.02564,0.00136,0.00029,0,0,0,0,2.26496,6.12437,4.34611,1.6694,0,6.04803e-05,6.04803e-05,6.04803e-05
3,106.912,2.68331,5.01347,4.37579,1.78541,0,0.00814,0.03205,0.0027,0.00054,0,0,0,0,2.21663,5.30751,4.35511,1.5977,0,9.0091e-05,9.0091e-05,9.0091e-05
4,128.88,2.69424,4.30807,4.37018,1.8551,0,0.00814,0.03205,0.0027,0.00054,0,0,0,0,2.21663,5.30751,4.35511,1.5977,0,0.000116102,0.000116102,0.000116102
5,154.557,2.65458,4.12364,4.36627,1.78428,0,0.00921,0.04487,0.00965,0.00134,0.00132,0.00641,6e-05,1e-05,2.12901,4.37344,4.33184,1.54864,0,0.000138513,0.000138513,0.000138513
6,177.562,2.56527,4.33967,4.3241,1.71655,0,0.00921,0.04487,0.00965,0.00134,0.00132,0.00641,6e-05,1e-05,2.12901,4.37344,4.33184,1.54864,0,0.000157325,0.000157325,0.000157325
7,224.787,2.42553,3.8416,4.2676,1.60284,0,0.00921,0.04487,0.00708,0.00151,0.00263,0.01282,0.00047,5e-05,2.0665,3.66356,4.33242,1.49873,0,0.000172537,0.000172537,0.000172537
8,249.378,2.63622,3.78671,4.3583,1.69237,0,0.00921,0.04487,0.00708,0.00151,0.00263,0.01282,0.00047,5e-05,2.0665,3.66356,4.33242,1.49873,0,0.00018415,0.00018415,0.00018415
9,279.218,2.40543,3.99643,4.34365,1.58437,0,0.00921,0.04487,0.00708,0.00151,0.00263,0.01282,0.00047,5e-05,2.0665,3.66356,4.33242,1.49873,0,0.000192163,0.000192163,0.000192163
10,307.368,2.48668,3.55051,4.30077,1.56444,0,0.01499,0.07051,0.01174,0.0027,0.01226,0.05769,0.00913,0.0013,2.04633,3.57924,4.29468,1.45961,0,0.000196576,0.000196576,0.000196576
11,339.488,2.35795,3.56486,4.26461,1.53534,0,0.01499,0.07051,0.01174,0.0027,0.01226,0.05769,0.00913,0.0013,2.04633,3.57924,4.29468,1.45961,0,0.000197389,0.000197389,0.000197389
12,360.39,2.40798,3.71861,4.22479,1.49983,0,0.01499,0.07051,0.01174,0.0027,0.01226,0.05769,0.00913,0.0013,2.04633,3.57924,4.29468,1.45961,0,0.000194603,0.000194603,0.000194603
13,390.563,2.40223,3.90074,4.30987,1.54837,0,0.01499,0.07051,0.01174,0.0027,0.01226,0.05769,0.00913,0.0013,2.04633,3.57924,4.29468,1.45961,0,0.000188218,0.000188218,0.000188218
14,418.724,2.23306,3.46793,4.20405,1.44425,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,0.000178232,0.000178232,0.000178232
15,462.897,2.20086,3.6056,4.14307,1.41519,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,0.000164647,0.000164647,0.000164647
16,513.082,2.17849,3.32118,4.17749,1.43057,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,0.000147463,0.000147463,0.000147463
17,540.982,2.02133,3.43249,4.14565,1.41304,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,0.000126678,0.000126678,0.000126678
18,575.27,2.28022,3.57126,4.2833,1.45089,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,0.000102294,0.000102294,0.000102294
19,612.116,2.08983,3.64425,4.14649,1.4059,0,0.02333,0.08974,0.02498,0.01047,0.02333,0.08974,0.00962,0.00363,1.85769,3.5274,4.21719,1.35291,0,7.43107e-05,7.43107e-05,7.43107e-05
20,647.955,2.16772,3.574,4.18754,1.43033,0,0.02381,0.08333,0.01055,0.00367,0.01832,0.0641,0.00407,0.00138,1.83405,3.5476,4.19776,1.36086,0,4.27275e-05,4.27275e-05,4.27275e-05
