filename,width,height,visible_classes,annotation_priority
0b79a51a-bede-49d3-b746-44351f4fd1ba.jpg,1021,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
ae4cdbb8-e2b5-4e03-82e5-26c97c0abeb6.jpg,1200,1170,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
456d94d0-4608-49d8-b0d1-7e411ffe0c10.jpg,960,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
22177c44-e3e1-4d32-8f5f-449416c7f28f.jpg,964,1600,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
b9298dde-b279-4bca-8dd4-e7e2f226c8af.jpg,920,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
cd95935d-4b46-476b-b4ca-25a562b2a3b2.jpg,882,1600,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
c91ef926-2ca3-4d25-a865-b5d11160cc0d.jpg,988,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
e02b17fd-1b10-43dc-81c9-cc3498911f8f.jpg,868,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
e56169f3-b2d4-465c-bbd5-cbcacbfb042f.jpg,981,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
87311ed0-fd33-4fad-9a08-4739e56d5c05.jpg,1200,1200,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
a5a289c0-e10a-42da-bd2d-4555496295bf.jpg,880,1600,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
6e8235e1-66f1-4517-b01e-dbbb70943ef5.jpg,1200,1200,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
938c6fc1-381d-4e9b-83d7-0d5e1aa709e2.jpg,1200,1095,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
8403e0d1-923a-4474-b7db-3ad8acf0863a.jpg,1080,935,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,P1
67bee77cde82164884b9f642563539b2_2.jpg,736,1799,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
009b1b7a-ff37-4d1a-9d6c-47b8bd4862b2.jpg,775,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
8ef33834-197e-470e-86c3-c5491ec01511.jpg,873,1280,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
2e2b2f48-38b2-4a27-9206-a4e6b6d149fc.jpg,800,1200,balcony;bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;table;toilet;wall;window,P1
