epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
3,5316.2,3.157,3.96072,2.58878,2.12016,0,0.42639,0.09845,0.08621,0.03148,0.41407,0.09548,0.08303,0.02963,3.15487,4.02719,2.5039,2.09497,0,0.00120714,0.00120714,0.00120714
1,3029.3,3.31714,4.4595,3.24456,2.31391,0,0.59918,0.0837,0.06181,0.0215,0.59783,0.08543,0.06418,0.02184,3.43437,4.0935,2.83077,2.27684,0,0.000415,0.000415,0.000415
4,8171.95,3.05571,3.91896,2.47984,2.05642,0,0.3859,0.10541,0.07505,0.02562,0.38279,0.10313,0.07624,0.02637,3.13802,3.93613,2.50995,2.09615,0,0.00118812,0.00118812,0.00118812
2,5829.6,3.23368,3.9503,2.69919,2.18109,0,0.36913,0.08981,0.06298,0.01926,0.36535,0.0877,0.06654,0.02052,3.28983,3.99989,2.67916,2.20675,0,0.000817944,0.000817944,0.000817944
5,11237,3.02475,3.92903,2.44784,2.04686,0,0.40479,0.10345,0.08575,0.02844,0.41215,0.09385,0.08623,0.02942,3.04655,3.92286,2.41509,2.04753,0,0.0011675,0.0011675,0.0011675
3,8666.47,3.157,3.96072,2.58878,2.12016,0,0.42639,0.09845,0.08621,0.03148,0.41407,0.09548,0.08303,0.02963,3.15487,4.02719,2.5039,2.09497,0,0.00120714,0.00120714,0.00120714
6,13734.4,2.93148,3.87647,2.33706,1.99023,0,0.45988,0.11524,0.09862,0.03595,0.40697,0.1132,0.09947,0.03712,2.95705,3.89262,2.3575,2.00055,0,0.00114688,0.00114688,0.00114688
4,10978.4,3.05571,3.91896,2.47984,2.05642,0,0.38536,0.10549,0.07496,0.02554,0.38213,0.10313,0.07592,0.02624,3.13802,3.93613,2.50995,2.09615,0,0.00118812,0.00118812,0.00118812
7,16086,2.9017,3.85354,2.34942,1.98443,0,0.41473,0.12094,0.09047,0.03449,0.39328,0.11562,0.09168,0.03422,2.91377,3.85941,2.31697,1.9773,0,0.00112625,0.00112625,0.00112625
5,13353.3,3.02475,3.92903,2.44784,2.04686,0,0.40479,0.10345,0.08575,0.02844,0.41215,0.09385,0.08623,0.02942,3.04655,3.92286,2.41509,2.04753,0,0.0011675,0.0011675,0.0011675
8,18563.3,2.89497,3.88274,2.35366,1.96771,0,0.45858,0.12703,0.10582,0.03995,0.43247,0.12698,0.1057,0.03855,2.88029,3.85288,2.28606,1.96221,0,0.00110563,0.00110563,0.00110563
6,15788.4,2.93148,3.87647,2.33706,1.99023,0,0.45929,0.1154,0.0985,0.03588,0.40313,0.11292,0.09926,0.03705,2.95705,3.89262,2.3575,2.00055,0,0.00114688,0.00114688,0.00114688
9,20921.8,2.85668,3.8041,2.32995,1.93648,0,0.45349,0.10072,0.09958,0.03749,0.50156,0.10409,0.10325,0.03942,2.89148,3.88067,2.31963,1.96166,0,0.001085,0.001085,0.001085
7,18124.7,2.9017,3.85354,2.34942,1.98443,0,0.41449,0.12013,0.08974,0.03414,0.39302,0.11481,0.09098,0.03389,2.91377,3.85941,2.31697,1.9773,0,0.00112625,0.00112625,0.00112625
10,23281.6,2.84102,3.76955,2.30932,1.95576,0,0.43405,0.12169,0.10162,0.03835,0.42297,0.11969,0.1035,0.0388,2.90166,3.87801,2.30516,1.95019,0,0.00106437,0.00106437,0.00106437
8,20683.8,2.89497,3.88274,2.35366,1.96771,0,0.45854,0.12779,0.10643,0.04015,0.43223,0.12739,0.10647,0.03882,2.88029,3.85288,2.28606,1.96221,0,0.00110563,0.00110563,0.00110563
11,25899.3,2.8221,3.78043,2.28121,1.918,0,0.21117,0.11723,0.09026,0.03221,0.21863,0.11947,0.09398,0.03413,2.88558,3.85209,2.36212,1.95392,0,0.00104375,0.00104375,0.00104375
9,23131.7,2.85668,3.8041,2.32995,1.93648,0,0.45249,0.10081,0.09932,0.03738,0.50052,0.10417,0.10295,0.03929,2.89148,3.88067,2.31963,1.96166,0,0.001085,0.001085,0.001085
12,28358.4,2.80019,3.80148,2.26101,1.91378,0,0.19947,0.12317,0.10019,0.03598,0.18106,0.11908,0.09858,0.03615,2.82222,3.77698,2.26983,1.91218,0,0.00102312,0.00102312,0.00102312
