epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,198.052,3.27622,5.41018,3.91039,2.42795,0,0.03092,0.0672,0.02952,0.00799,0.02725,0.05923,0.02813,0.0082,3.6272,4.31525,3.8366,2.76259,0,0.0002375,0.0002375,0.0002375
2,395.102,3.26696,4.46489,3.54977,2.24514,0,0.02121,0.09409,0.04084,0.01043,0.0199,0.08865,0.04056,0.01033,3.69066,4.32079,3.72127,2.67052,0,0.000475434,0.000475434,0.000475434
3,598.093,3.31264,4.32726,3.24439,2.20088,0,0.80608,0.10359,0.04707,0.01297,0.81749,0.1006,0.04895,0.0133,3.64381,4.74893,3.37642,2.57409,0,0.000700994,0.000700994,0.000700994
4,800.443,3.34395,4.28227,3.04998,2.17433,0,0.81578,0.05975,0.03621,0.008,0.82688,0.06773,0.03875,0.00946,3.72648,4.36823,3.23338,2.60772,0,0.000914178,0.000914178,0.000914178
5,1044.37,3.28846,4.13753,2.92727,2.13287,0,0.80621,0.06673,0.03495,0.00825,0.81088,0.0757,0.03784,0.00915,3.77084,4.27134,3.18743,2.63609,0,0.00111499,0.00111499,0.00111499
6,1295.85,3.38638,4.11405,2.86561,2.16248,0,0.58842,0.08765,0.05991,0.01886,0.58851,0.08665,0.06097,0.0193,3.71306,4.12945,3.0506,2.51437,0,0.00109531,0.00109531,0.00109531
7,1496.63,3.29698,4.155,2.79989,2.16547,0,0.34298,0.07669,0.06071,0.01785,0.34643,0.08068,0.06586,0.02001,3.66066,4.06461,3.05438,2.49067,0,0.00106437,0.00106437,0.00106437
8,1701,3.30433,4.085,2.70838,2.1256,0,0.31192,0.06322,0.03139,0.00799,0.31809,0.07271,0.04067,0.00989,3.74102,4.07362,3.4469,2.54132,0,0.00103344,0.00103344,0.00103344
9,1950.13,3.23291,4.16944,2.64668,2.08051,0,0.31089,0.06515,0.02823,0.00733,0.31795,0.07259,0.03468,0.0092,3.65615,4.07985,4.03672,2.48746,0,0.0010025,0.0010025,0.0010025
10,2168.93,3.31508,4.14751,2.68729,2.11922,0,0.34333,0.08361,0.05572,0.01557,0.35271,0.08906,0.06013,0.01682,3.52261,4.07903,3.0773,2.37526,0,0.000971562,0.000971562,0.000971562
