epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,0.708267,2.09378,7.29204,4.23378,1.90185,0,0,0,0,0,0,0,0,0,1.42028,8.00166,4.5132,1.46149,0,0,0,0
2,1.78453,2.57487,5.72643,4.56981,2.00236,0,0,0,0,0,0,0,0,0,1.41075,7.80547,4.51058,1.46106,0,4.66575e-06,4.66575e-06,4.66575e-06
3,2.93139,2.41838,6.16326,4.62536,1.87493,0,0,0,0,0,0,0,0,0,1.37098,7.6893,4.52541,1.44766,0,9.14301e-06,9.14301e-06,9.14301e-06
4,4.01403,2.49519,5.9124,4.49642,1.88966,0,0,0,0,0,0,0,0,0,1.24653,7.57602,4.56278,1.40968,0,1.34318e-05,1.34318e-05,1.34318e-05
5,5.00738,2.07502,6.68535,4.35557,2.1004,0,0,0,0,0,0,0,0,0,1.24653,7.57602,4.56278,1.40968,0,1.7532e-05,1.7532e-05,1.7532e-05
6,6.10906,2.1168,5.18645,4.59618,1.86839,0,0,0,0,0,0,0,0,0,1.29706,6.98798,4.54278,1.41724,0,2.14438e-05,2.14438e-05,2.14438e-05
7,7.11622,2.61314,4.71969,4.26218,2.67512,0,0,0,0,0,0,0,0,0,1.29706,6.98798,4.54278,1.41724,0,2.51671e-05,2.51671e-05,2.51671e-05
8,8.51464,1.72967,6.02184,4.19187,1.7478,0,0,0,0,0,0,0,0,0,1.48988,6.4843,4.48864,1.43542,0,2.87018e-05,2.87018e-05,2.87018e-05
9,9.8432,2.09169,6.30954,4.25674,2.17289,0,0,0,0,0,0,0,0,0,1.48988,6.4843,4.48864,1.43542,0,3.20481e-05,3.20481e-05,3.20481e-05
10,11.3763,1.52565,5.41865,3.97264,1.72139,0,0,0,0,0,0,0,0,0,1.39672,6.36026,4.48802,1.44021,0,3.52059e-05,3.52059e-05,3.52059e-05
11,12.8491,2.84226,5.13324,4.6993,2.47126,0,0,0,0,0,0,0,0,0,1.39672,6.36026,4.48802,1.44021,0,3.81752e-05,3.81752e-05,3.81752e-05
12,14.2229,1.79402,5.49109,4.40947,1.77472,0,0,0,0,0,0,0,0,0,1.39672,6.36026,4.48802,1.44021,0,4.0956e-05,4.0956e-05,4.0956e-05
13,15.6987,1.69917,5.23395,4.36715,1.68347,0,0,0,0,0,0,0,0,0,1.42758,5.76528,4.46974,1.46573,0,4.35483e-05,4.35483e-05,4.35483e-05
14,17.1529,2.87173,4.27473,4.32407,2.27004,0,0,0,0,0,0,0,0,0,1.42758,5.76528,4.46974,1.46573,0,4.59521e-05,4.59521e-05,4.59521e-05
15,18.4513,1.91429,4.43864,4.21082,1.92146,0,0,0,0,0,0,0,0,0,1.42758,5.76528,4.46974,1.46573,0,4.81674e-05,4.81674e-05,4.81674e-05
